Day of Week,Date,Hour ending,Hourly volume Southbound,HCV % Southbound,Hourly volume Northbound,HCV % Northbound,Total volume,Total % HCV
Tue, Jan 1 2013,0100,70,11.4,71,9.9,141,10.6
Tue, Jan 1 2013,0200,76,14.5,96,9.4,172,11.6
Tue, Jan 1 2013,0300,71,9.9,56,19.6,127,14.2
Tue, Jan 1 2013,0400,33,15.2,44,13.6,77,14.3
Tue, Jan 1 2013,0500,45,20,34,23.5,79,21.5
Tue, Jan 1 2013,0600,33,27.3,38,21.1,71,23.9
Tue, Jan 1 2013,0700,103,17.5,48,12.5,151,15.9
Tue, Jan 1 2013,0800,132,9.1,71,14.1,203,10.8
Tue, Jan 1 2013,0900,101,11.9,106,8.5,207,10.1
Tue, Jan 1 2013,1000,121,7.4,136,11,257,9.3
Tue, Jan 1 2013,1100,246,7.7,185,8.1,431,7.9
Tue, Jan 1 2013,1200,370,7,326,4,696,5.6
Tue, Jan 1 2013,1300,540,5.2,539,3.2,1079,4.2
Tue, Jan 1 2013,1400,569,3.2,611,3.6,1180,3.4
Tue, Jan 1 2013,1500,626,3,640,3.8,1266,3.4
Tue, Jan 1 2013,1600,687,3.9,639,2.7,1326,3.3
Tue, Jan 1 2013,1700,672,4.3,579,2.8,1251,3.6
Tue, Jan 1 2013,1800,539,4.3,529,2.8,1068,3.6
Tue, Jan 1 2013,1900,537,5.6,461,3.3,998,4.5
Tue, Jan 1 2013,2000,458,9,381,4.5,839,6.9
Tue, Jan 1 2013,2100,316,5.1,366,3.6,682,4.3
Tue, Jan 1 2013,2200,216,4.6,219,6.4,435,5.5
Tue, Jan 1 2013,2300,162,13.6,158,7,320,10.3
Tue, Jan 1 2013,2400,103,14.6,133,10.5,236,12.3
Wed, Jan 2 2013,0100,57,35.1,82,17.1,139,24.5
Wed, Jan 2 2013,0200,47,36.2,53,34,100,35
Wed, Jan 2 2013,0300,30,40,31,58.1,61,49.2
Wed, Jan 2 2013,0400,82,35.4,33,42.4,115,37.4
Wed, Jan 2 2013,0500,114,32.5,45,37.8,159,34
Wed, Jan 2 2013,0600,222,35.6,92,25,314,32.5
Wed, Jan 2 2013,0700,551,20,175,20,726,20
Wed, Jan 2 2013,0800,719,14.6,414,15.5,1133,14.9
Wed, Jan 2 2013,0900,823,12.9,706,11.9,1529,12.4
Wed, Jan 2 2013,1000,585,20.9,585,16.9,1170,18.9
Wed, Jan 2 2013,1100,557,17.2,627,13.1,1184,15
Wed, Jan 2 2013,1200,669,14.9,686,14.9,1355,14.9
Wed, Jan 2 2013,1300,821,12.3,796,11.6,1617,11.9
Wed, Jan 2 2013,1400,713,15.3,829,11.1,1542,13
Wed, Jan 2 2013,1500,811,11.3,789,14.6,1600,12.9
Wed, Jan 2 2013,1600,802,9.7,784,14.4,1586,12
