Day of Week,Date,Hour ending,Hourly volume Southbound,HCV % Southbound,Hourly volume Northbound,HCV % Northbound,Total volume,Total % HCV
Tue, Jan 1 2013,0100,63,14.3,49,12.2,112,13.4
Tue, Jan 1 2013,0200,65,9.2,66,4.5,131,6.9
Tue, Jan 1 2013,0300,55,10.9,40,20,95,14.7
Tue, Jan 1 2013,0400,26,11.5,30,10,56,10.7
Tue, Jan 1 2013,0500,25,16,20,25,45,20
Tue, Jan 1 2013,0600,33,21.2,22,13.6,55,18.2
Tue, Jan 1 2013,0700,86,17.4,29,13.8,115,16.5
Tue, Jan 1 2013,0800,88,12.5,41,26.8,129,17.1
Tue, Jan 1 2013,0900,87,8,73,11,160,9.4
Tue, Jan 1 2013,1000,106,7.5,109,7.3,215,7.4
Tue, Jan 1 2013,1100,210,7.1,152,6.6,362,6.9
Tue, Jan 1 2013,1200,307,7.8,257,3.5,564,5.9
Tue, Jan 1 2013,1300,451,5.8,454,3.7,905,4.8
Tue, Jan 1 2013,1400,496,2.8,551,2.9,1047,2.9
Tue, Jan 1 2013,1500,515,4.1,562,3.2,1077,3.6
Tue, Jan 1 2013,1600,613,3.1,537,3,1150,3
Tue, Jan 1 2013,1700,568,3.3,501,2.6,1069,3
Tue, Jan 1 2013,1800,470,5.1,450,3.3,920,4.2
Tue, Jan 1 2013,1900,440,6.6,391,4.1,831,5.4
Tue, Jan 1 2013,2000,381,8.7,302,5,683,7
Tue, Jan 1 2013,2100,244,5.3,287,4.5,531,4.9
Tue, Jan 1 2013,2200,170,7.1,166,4.8,336,6
Tue, Jan 1 2013,2300,131,14.5,119,10.9,250,12.8
Tue, Jan 1 2013,2400,69,20.3,111,10.8,180,14.4
Wed, Jan 2 2013,0100,50,36,74,16.2,124,24.2
Wed, Jan 2 2013,0200,27,59.3,43,34.9,70,44.3
Wed, Jan 2 2013,0300,28,28.6,26,42.3,54,35.2
Wed, Jan 2 2013,0400,71,38,27,44.4,98,39.8
Wed, Jan 2 2013,0500,86,38.4,43,44.2,129,40.3
Wed, Jan 2 2013,0600,194,37.6,59,23.7,253,34.4
Wed, Jan 2 2013,0700,435,20.5,128,26.6,563,21.8
Wed, Jan 2 2013,0800,533,17.8,250,21.6,783,19
Wed, Jan 2 2013,0900,682,16.1,387,16.3,1069,16.2
Wed, Jan 2 2013,1000,480,19.8,420,19.8,900,19.8
Wed, Jan 2 2013,1100,454,19.2,500,14,954,16.5
Wed, Jan 2 2013,1200,549,14.8,582,13.6,1131,14.1
Wed, Jan 2 2013,1300,637,12.1,658,14.1,1295,13.1
Wed, Jan 2 2013,1400,603,16.3,673,10.5,1276,13.2
Wed, Jan 2 2013,1500,613,10.9,659,15.2,1272,13.1
Wed, Jan 2 2013,1600,634,10.7,571,17.3,1205,13.9
Wed, Jan 2 2013,1700,603,12.6,747,12.6,1350,12.6
Wed, Jan 2 2013,1800,567,11.3,853,9.1,1420,10
Wed, Jan 2 2013,1900,490,10.6,633,11.8,1123,11.3
Wed, Jan 2 2013,2000,411,15.8,364,11.3,775,13.7
Wed, Jan 2 2013,2100,248,14.5,294,10.5,542,12.4
