Day of Week,Date,Hour ending,Hourly volume Eastbound,HCV % Eastbound,Hourly volume Westbound,HCV % Westbound,Total volume,Total % HCV
Sat, Jan 1 2011,0100,64,3.1,90,2.2,154,2.6
Sat, Jan 1 2011,0200,71,4.2,98,5.1,169,4.7
Sat, Jan 1 2011,0300,49,0,107,1.9,156,1.3
Sat, Jan 1 2011,0400,45,2.2,84,2.4,129,2.3
Sat, Jan 1 2011,0500,47,0,65,1.5,112,0.9
Sat, Jan 1 2011,0600,61,3.3,53,11.3,114,7
Sat, Jan 1 2011,0700,153,1.3,71,7,224,3.1
Sat, Jan 1 2011,0800,159,4.4,124,8.1,283,6
Sat, Jan 1 2011,0900,148,3.4,188,2.1,336,2.7
Sat, Jan 1 2011,1000,226,5.3,287,2.4,513,3.7
Sat, Jan 1 2011,1100,317,1.3,451,2,768,1.7
Sat, Jan 1 2011,1200,571,3.3,726,1.5,1297,2.3
Sat, Jan 1 2011,1300,828,1.2,918,0.7,1746,0.9
Sat, Jan 1 2011,1400,1041,1.4,1052,0.5,2093,1
Sat, Jan 1 2011,1500,1172,1.3,1039,0.9,2211,1.1
Sat, Jan 1 2011,1600,1210,0.7,1005,0.6,2215,0.7
Sat, Jan 1 2011,1700,1149,0.3,852,1.4,2001,0.8
Sat, Jan 1 2011,1800,960,1.1,657,0.8,1617,1
Sat, Jan 1 2011,1900,837,1.1,558,1.4,1395,1.2
Sat, Jan 1 2011,2000,604,1.7,516,1.4,1120,1.5
Sat, Jan 1 2011,2100,386,1,426,2.8,812,2
Sat, Jan 1 2011,2200,287,4.2,264,2.7,551,3.4
Sat, Jan 1 2011,2300,190,4.2,165,4.2,355,4.2
Sat, Jan 1 2011,2400,165,3,134,6.7,299,4.7
Sun, Jan 2 2011,0100,83,6,109,15.6,192,11.5
Sun, Jan 2 2011,0200,31,6.5,77,13,108,11.1
Sun, Jan 2 2011,0300,32,3.1,42,14.3,74,9.5
Sun, Jan 2 2011,0400,60,3.3,44,11.4,104,6.7
Sun, Jan 2 2011,0500,74,6.8,38,23.7,112,12.5
Sun, Jan 2 2011,0600,115,5.2,59,8.5,174,6.3
Sun, Jan 2 2011,0700,181,6.6,105,8.6,286,7.3
Sun, Jan 2 2011,0800,172,4.7,155,10.3,327,7.3
Sun, Jan 2 2011,0900,183,8.2,242,4.1,425,5.9
Sun, Jan 2 2011,1000,366,5.2,363,3.6,729,4.4
Sun, Jan 2 2011,1100,652,3.5,590,3.1,1242,3.3
Sun, Jan 2 2011,1200,1095,2.3,905,2,2000,2.2
Sun, Jan 2 2011,1300,1409,2.1,1069,2,2478,2.1
Sun, Jan 2 2011,1400,1655,1,1243,1.7,2898,1.3
Sun, Jan 2 2011,1500,1749,0.9,1271,1.8,3020,1.3
Sun, Jan 2 2011,1600,1964,0.7,1409,1.5,3373,1
Sun, Jan 2 2011,1700,1934,0.9,1059,2.1,2993,1.3
Sun, Jan 2 2011,1800,1809,0.7,983,1.1,2792,0.8
Sun, Jan 2 2011,1900,1469,0.9,814,2.6,2283,1.5
Sun, Jan 2 2011,2000,939,1.2,749,1.6,1688,1.4
Sun, Jan 2 2011,2100,751,1.7,521,1.9,1272,1.8
Sun, Jan 2 2011,2200,449,3.3,338,4.7,787,3.9
Sun, Jan 2 2011,2300,245,2,240,4.6,485,3.3
Sun, Jan 2 2011,2400,130,6.2,187,10.2,317,8.5
Mon, Jan 3 2011,0100,69,2.9,127,16.5,196,11.7
Mon, Jan 3 2011,0200,47,12.8,72,20.8,119,17.6
Mon, Jan 3 2011,0300,50,8,79,29.1,129,20.9
Mon, Jan 3 2011,0400,83,14.5,51,31.4,134,20.9
Mon, Jan 3 2011,0500,105,10.5,59,22,164,14.6
Mon, Jan 3 2011,0600,171,5.8,76,17.1,247,9.3
Mon, Jan 3 2011,0700,279,4.3,177,12.4,456,7.5
Mon, Jan 3 2011,0800,273,4.8,233,12,506,8.1
Mon, Jan 3 2011,0900,393,5.6,267,8.6,660,6.8
Mon, Jan 3 2011,1000,486,6,385,4.9,871,5.5
Mon, Jan 3 2011,1100,642,5.5,547,2.9,1189,4.3
Mon, Jan 3 2011,1200,927,4.3,835,2.9,1762,3.6
Mon, Jan 3 2011,1300,1119,2.9,1078,3.8,2197,3.3
Mon, Jan 3 2011,1400,1460,2.5,1178,2.6,2638,2.5
Mon, Jan 3 2011,1500,1703,1.2,1249,2.6,2952,1.8
Mon, Jan 3 2011,1600,1786,1.8,1190,2.6,2976,2.2
Mon, Jan 3 2011,1700,1887,1.9,1109,2.2,2996,2
Mon, Jan 3 2011,1800,1855,1.5,1003,2.4,2858,1.8
Mon, Jan 3 2011,1900,1373,2.4,844,3.2,2217,2.7
Mon, Jan 3 2011,2000,937,3,658,4.1,1595,3.4
Mon, Jan 3 2011,2100,781,1.9,472,5.1,1253,3.1
Mon, Jan 3 2011,2200,542,5,359,6.4,901,5.5
Mon, Jan 3 2011,2300,324,5.9,236,9.7,560,7.5
Mon, Jan 3 2011,2400,152,9.9,157,8.9,309,9.4
Tue, Jan 4 2011,0100,60,15,124,29.8,184,25
Tue, Jan 4 2011,0200,42,23.8,68,33.8,110,30
Tue, Jan 4 2011,0300,50,22,53,56.6,103,39.8
Tue, Jan 4 2011,0400,63,17.5,63,50.8,126,34.1
Tue, Jan 4 2011,0500,168,13.1,77,45.5,245,23.3
Tue, Jan 4 2011,0600,372,7.8,152,26.3,524,13.2
Tue, Jan 4 2011,0700,1297,5.5,337,22,1634,8.9
Tue, Jan 4 2011,0800,1770,3.1,619,12.4,2389,5.5
Tue, Jan 4 2011,0900,1667,3.6,814,6.8,2481,4.6
Tue, Jan 4 2011,1000,1080,9.3,678,12.7,1758,10.6
Tue, Jan 4 2011,1100,970,12.3,759,12.4,1729,12.3
Tue, Jan 4 2011,1200,1069,11.1,929,11.1,1998,11.1
Tue, Jan 4 2011,1300,1111,9.4,975,10.4,2086,9.8
Tue, Jan 4 2011,1400,1128,10.3,1047,8.2,2175,9.3
Tue, Jan 4 2011,1500,1265,8,1129,7.4,2394,7.7
Tue, Jan 4 2011,1600,1277,8.4,1316,6.2,2593,7.3
Tue, Jan 4 2011,1700,1311,7.9,1702,3.8,3013,5.6
Tue, Jan 4 2011,1800,1148,6.6,2111,3,3259,4.3
Tue, Jan 4 2011,1900,852,6.3,1429,5.1,2281,5.6
Tue, Jan 4 2011,2000,594,9.8,783,6.4,1377,7.8
Tue, Jan 4 2011,2100,470,13,555,9,1025,10.8
Tue, Jan 4 2011,2200,316,16.8,398,11.8,714,14
Tue, Jan 4 2011,2300,195,15.9,326,13.5,521,14.4
Tue, Jan 4 2011,2400,117,21.4,197,18.8,314,19.7
Wed, Jan 5 2011,0100,85,42.4,148,35.1,233,37.8
Wed, Jan 5 2011,0200,50,40,104,35.6,154,37
Wed, Jan 5 2011,0300,43,11.6,86,46.5,129,34.9
Wed, Jan 5 2011,0400,71,32.4,69,69.6,140,50.7
Wed, Jan 5 2011,0500,132,27.3,77,42.9,209,33
Wed, Jan 5 2011,0600,371,12.1,141,45.4,512,21.3
Wed, Jan 5 2011,0700,1074,5.3,311,29.3,1385,10.7
Wed, Jan 5 2011,0800,1599,4.2,732,13.7,2331,7.2
Wed, Jan 5 2011,0900,1722,5.2,970,10.4,2692,7.1
Wed, Jan 5 2011,1000,1203,7.6,720,13.9,1923,10
Wed, Jan 5 2011,1100,1128,11.3,842,10.9,1970,11.2
Wed, Jan 5 2011,1200,1081,11,984,11.7,2065,11.3
Wed, Jan 5 2011,1300,1125,11.2,1002,10.9,2127,11
Wed, Jan 5 2011,1400,1170,10.6,1038,9.7,2208,10.2
Wed, Jan 5 2011,1500,1244,10.2,1144,8,2388,9.2
Wed, Jan 5 2011,1600,1196,10.5,1381,7,2577,8.6
Wed, Jan 5 2011,1700,1312,7.2,1845,4.6,3157,5.7
Wed, Jan 5 2011,1800,1170,7.3,2208,3,3378,4.5
Wed, Jan 5 2011,1900,916,8.8,1517,4.4,2433,6
Wed, Jan 5 2011,2000,621,9.8,823,6,1444,7.6
Wed, Jan 5 2011,2100,424,13.9,646,9,1070,10.9
Wed, Jan 5 2011,2200,359,18.9,423,10.4,782,14.3
Wed, Jan 5 2011,2300,220,15,273,22.3,493,19.1
Wed, Jan 5 2011,2400,134,23.1,234,12.4,368,16.3
Thu, Jan 6 2011,0100,88,37.5,163,38.7,251,38.2
Thu, Jan 6 2011,0200,54,31.5,121,44.6,175,40.6
Thu, Jan 6 2011,0300,56,32.1,78,60.3,134,48.5
Thu, Jan 6 2011,0400,74,21.6,83,47,157,35
Thu, Jan 6 2011,0500,141,24.1,97,44.3,238,32.4
Thu, Jan 6 2011,0600,344,16.6,151,39.7,495,23.6
Thu, Jan 6 2011,0700,1134,6.5,398,23.1,1532,10.8
Thu, Jan 6 2011,0800,1648,4.8,783,16.6,2431,8.6
Thu, Jan 6 2011,0900,1784,5.7,983,9.5,2767,7
Thu, Jan 6 2011,1000,1304,7.3,825,12.8,2129,9.4
Thu, Jan 6 2011,1100,993,12.4,823,11.9,1816,12.2
Thu, Jan 6 2011,1200,1150,10.3,940,11.7,2090,11
Thu, Jan 6 2011,1300,1141,10.7,1057,10.7,2198,10.7
Thu, Jan 6 2011,1400,1175,11.1,1101,9.3,2276,10.2
Thu, Jan 6 2011,1500,1212,11,1197,7.7,2409,9.3
Thu, Jan 6 2011,1600,1250,10.3,1475,6.8,2725,8.4
Thu, Jan 6 2011,1700,1436,8.4,1852,4.8,3288,6.4
Thu, Jan 6 2011,1800,1209,9.3,2235,2.9,3444,5.1
Thu, Jan 6 2011,1900,1002,7.7,1674,4.2,2676,5.5
Thu, Jan 6 2011,2000,673,7.4,978,5.1,1651,6.1
Thu, Jan 6 2011,2100,495,12.3,733,8.7,1228,10.2
Thu, Jan 6 2011,2200,369,17.3,524,9.4,893,12.7
Thu, Jan 6 2011,2300,225,16.4,364,13.7,589,14.8
Thu, Jan 6 2011,2400,159,14.5,242,26.9,401,21.9
Fri, Jan 7 2011,0100,82,42.7,169,29.6,251,33.9
Fri, Jan 7 2011,0200,52,28.8,115,42.6,167,38.3
Fri, Jan 7 2011,0300,73,30.1,78,48.7,151,39.7
Fri, Jan 7 2011,0400,80,30,80,60,160,45
