Day of Week,Date,Hour ending,Hourly volume Southbound,HCV % Southbound,Hourly volume Northbound,HCV % Northbound,Total volume,Total % HCV
Thu, Jun 2 2011,100,105,10.5,116,6.9,221,8.6
Thu, Jun 2 2011,200,80,13.8,91,11,171,12.3
Thu, Jun 2 2011,300,55,16.4,65,16.9,120,16.7
Thu, Jun 2 2011,400,45,28.9,78,15.4,123,20.3
Thu, Jun 2 2011,500,67,26.9,143,10.5,210,15.7
Thu, Jun 2 2011,600,183,27.3,285,10.2,468,16.9
Thu, Jun 2 2011,700,678,12.1,765,7.2,1443,9.5
Thu, Jun 2 2011,800,2957,4.8,2437,3.5,5394,4.2
Thu, Jun 2 2011,900,3684,4.8,3154,2.8,6838,3.8
Thu, Jun 2 2011,1000,2493,6.9,2241,5.8,4734,6.4
Thu, Jun 2 2011,1100,1927,8.6,1729,7.5,3656,8.1
Thu, Jun 2 2011,1200,1835,7.6,1676,7.6,3511,7.6
Thu, Jun 2 2011,1300,1845,9.1,1858,7.1,3703,8.1
Thu, Jun 2 2011,1400,1787,7.2,1791,7.8,3578,7.5
Thu, Jun 2 2011,1500,1904,7.4,1830,6.9,3734,7.2
Thu, Jun 2 2011,1600,2215,5.3,2137,7.4,4352,6.3
Thu, Jun 2 2011,1700,2770,3.3,3076,4.9,5846,4.2
Thu, Jun 2 2011,1800,3280,2.3,3452,3.3,6732,2.8
Thu, Jun 2 2011,1900,2916,1.9,2697,2.4,5613,2.1
Thu, Jun 2 2011,2000,1845,2.7,1600,3.6,3445,3.1
Thu, Jun 2 2011,2100,1283,2.2,1249,3,2532,2.6
Thu, Jun 2 2011,2200,973,1.7,1067,2.8,2040,2.3
Thu, Jun 2 2011,2300,763,3,759,2.8,1522,2.9
Thu, Jun 2 2011,2400,451,2.2,451,2.9,902,2.5
Fri, Jun 3 2011,100,265,5.7,246,2.8,511,4.3
Fri, Jun 3 2011,200,153,8.5,134,14.2,287,11.1
Fri, Jun 3 2011,300,66,16.7,85,4.7,151,9.9
Fri, Jun 3 2011,400,61,24.6,89,14.6,150,18.7
Fri, Jun 3 2011,500,83,24.1,159,8.2,242,13.6
Fri, Jun 3 2011,600,217,26.3,309,10.4,526,16.9
Fri, Jun 3 2011,700,715,12.3,706,6.4,1421,9.4
Fri, Jun 3 2011,800,2682,6.3,2202,3.8,4884,5.2
Fri, Jun 3 2011,900,3402,5.1,2842,2.9,6244,4.1
Fri, Jun 3 2011,1000,2400,7.6,2187,6.6,4587,7.1
Fri, Jun 3 2011,1100,1980,7.1,1853,7.9,3833,7.5
Fri, Jun 3 2011,1200,2199,7.1,1937,7.3,4136,7.2
Fri, Jun 3 2011,1300,2467,6.1,2192,7,4659,6.5
Fri, Jun 3 2011,1400,2620,5.5,2217,6.6,4837,6
Fri, Jun 3 2011,1500,2649,5.2,2372,6.3,5021,5.7
Fri, Jun 3 2011,1600,2890,3.8,2936,5.6,5826,4.7
Fri, Jun 3 2011,1700,2999,2.9,3175,3.5,6174,3.2
Fri, Jun 3 2011,1800,3039,2.2,3060,2.6,6099,2.4
Fri, Jun 3 2011,1900,2368,2.4,2222,2.3,4590,2.4
Fri, Jun 3 2011,2000,1922,1.8,1698,1.9,3620,1.9
Fri, Jun 3 2011,2100,1425,2,1281,2.2,2706,2.1
Fri, Jun 3 2011,2200,995,1.8,1001,2.8,1996,2.3
Fri, Jun 3 2011,2300,751,2.7,627,2.7,1378,2.7
Fri, Jun 3 2011,2400,411,3.2,415,2.4,826,2.8
Sat, Jun 4 2011,100,289,5.5,315,5.1,604,5.3
Sat, Jun 4 2011,200,176,5.7,210,4.3,386,4.9
Sat, Jun 4 2011,300,103,4.9,122,4.1,225,4.4
Sat, Jun 4 2011,400,74,18.9,117,7.7,191,12
Sat, Jun 4 2011,500,96,15.6,166,3.6,262,8
Sat, Jun 4 2011,600,150,15.3,177,6.2,327,10.4
Sat, Jun 4 2011,700,276,18.8,313,8.6,589,13.4
Sat, Jun 4 2011,800,619,9.5,692,5.5,1311,7.4
Sat, Jun 4 2011,900,906,8.4,1001,5.9,1907,7.1
