Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Sun, Jan 1 2012,0100,288,0,242,0.8,530,0.4
Sun, Jan 1 2012,0200,437,0.7,386,0.5,823,0.6
Sun, Jan 1 2012,0300,355,0.3,314,0.6,669,0.4
Sun, Jan 1 2012,0400,227,1.3,197,2,424,1.7
Sun, Jan 1 2012,0500,194,0.5,122,0.8,316,0.6
Sun, Jan 1 2012,0600,149,2,131,1.5,280,1.8
Sun, Jan 1 2012,0700,177,0.6,149,2,326,1.2
Sun, Jan 1 2012,0800,250,0,226,0.9,476,0.4
Sun, Jan 1 2012,0900,301,1.3,245,1.2,546,1.3
Sun, Jan 1 2012,1000,364,1.1,353,0.6,717,0.8
Sun, Jan 1 2012,1100,596,0.3,682,1.3,1278,0.9
Sun, Jan 1 2012,1200,962,0.4,1137,0.6,2099,0.5
Sun, Jan 1 2012,1300,1570,0.3,1648,0.2,3218,0.2
Sun, Jan 1 2012,1400,2096,0.1,2343,0.2,4439,0.2
Sun, Jan 1 2012,1500,2277,0,2638,0.5,4915,0.3
Sun, Jan 1 2012,1600,2213,0.3,2553,0.2,4766,0.2
Sun, Jan 1 2012,1700,2254,0.2,2257,0.6,4511,0.4
Sun, Jan 1 2012,1800,2058,0.2,1936,0.3,3994,0.2
Sun, Jan 1 2012,1900,1742,0.2,1834,0.4,3576,0.3
Sun, Jan 1 2012,2000,1277,0.2,1561,0.6,2838,0.4
Sun, Jan 1 2012,2100,1116,0.4,1146,0.2,2262,0.3
Sun, Jan 1 2012,2200,848,0.6,833,1.2,1681,0.9
Sun, Jan 1 2012,2300,516,0.2,579,0.9,1095,0.5
Sun, Jan 1 2012,2400,406,0.5,380,1.6,786,1
Mon, Jan 2 2012,0100,252,2.8,236,1.3,488,2
Mon, Jan 2 2012,0200,153,2,162,2.5,315,2.2
Mon, Jan 2 2012,0300,90,4.4,58,8.6,148,6.1
Mon, Jan 2 2012,0400,87,2.3,70,7.1,157,4.5
Mon, Jan 2 2012,0500,123,2.4,79,17.7,202,8.4
Mon, Jan 2 2012,0600,154,3.9,138,7.2,292,5.5
Mon, Jan 2 2012,0700,247,3.2,274,10.6,521,7.1
Mon, Jan 2 2012,0800,380,3.2,462,3.5,842,3.3
Mon, Jan 2 2012,0900,563,5,554,2.3,1117,3.7
Mon, Jan 2 2012,1000,713,4.1,851,2.4,1564,3.1
Mon, Jan 2 2012,1100,1117,2.1,1183,1.8,2300,2
Mon, Jan 2 2012,1200,1477,1.5,1857,1.3,3334,1.4
Mon, Jan 2 2012,1300,1986,1.1,2435,0.7,4421,0.9
Mon, Jan 2 2012,1400,2369,0.8,2896,0.7,5265,0.7
