Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Mon, Jan 1 2007,0100,263,0.4,231,0,494,0.2
Mon, Jan 1 2007,0200,431,0.2,397,0,828,0.1
Mon, Jan 1 2007,0300,346,0.3,303,0,649,0.2
Mon, Jan 1 2007,0400,264,1.1,267,0,531,0.6
Mon, Jan 1 2007,0500,219,0.9,137,0,356,0.6
Mon, Jan 1 2007,0600,170,0.6,134,0,304,0.3
Mon, Jan 1 2007,0700,183,0.5,124,0,307,0.3
Mon, Jan 1 2007,0800,262,1.9,203,0,465,1.1
Mon, Jan 1 2007,0900,293,1,204,1.5,497,1.2
Mon, Jan 1 2007,1000,438,1.4,334,0.6,772,1
Mon, Jan 1 2007,1100,665,0.6,525,1.1,1190,0.8
Mon, Jan 1 2007,1200,1030,0.7,959,0.7,1989,0.7
Mon, Jan 1 2007,1300,1469,0.5,1505,0.2,2974,0.4
Mon, Jan 1 2007,1400,1876,0.4,1938,0.4,3814,0.4
Mon, Jan 1 2007,1500,2037,0.1,2388,0.1,4425,0.1
Mon, Jan 1 2007,1600,2054,0.4,2551,0.1,4605,0.3
Mon, Jan 1 2007,1700,2013,0.3,2451,0.4,4464,0.4
Mon, Jan 1 2007,1800,1813,0.5,2311,0.2,4124,0.3
Mon, Jan 1 2007,1900,1581,0.5,2025,0.3,3606,0.4
Mon, Jan 1 2007,2000,1306,0.4,1841,0.3,3147,0.3
Mon, Jan 1 2007,2100,1170,0.6,1488,0.2,2658,0.4
Mon, Jan 1 2007,2200,866,0.8,1227,0.7,2093,0.7
Mon, Jan 1 2007,2300,600,0.5,918,0.4,1518,0.5
Mon, Jan 1 2007,2400,397,3,610,1,1007,1.8
Tue, Jan 2 2007,0100,227,2.6,296,1,523,1.7
Tue, Jan 2 2007,0200,140,3.6,158,4.4,298,4
Tue, Jan 2 2007,0300,58,5.2,60,6.7,118,5.9
Tue, Jan 2 2007,0400,89,5.6,68,19.1,157,11.5
Tue, Jan 2 2007,0500,204,4.4,90,15.6,294,7.8
Tue, Jan 2 2007,0600,328,7.6,267,11.6,595,9.4
Tue, Jan 2 2007,0700,988,5.4,904,7.6,1892,6.4
Tue, Jan 2 2007,0800,2461,2.6,1667,3.5,4128,3
Tue, Jan 2 2007,0900,2815,3.2,1859,3.7,4674,3.4
Tue, Jan 2 2007,1000,1907,4.9,1665,4,3572,4.5
Tue, Jan 2 2007,1100,1742,5.6,1529,6.2,3271,5.9
Tue, Jan 2 2007,1200,1873,6,1845,4.8,3718,5.4
Tue, Jan 2 2007,1300,2027,5.6,2064,3.6,4091,4.6
Tue, Jan 2 2007,1400,2145,5.2,2377,3.7,4522,4.4
Tue, Jan 2 2007,1500,2305,4.5,2472,3.4,4777,4
Tue, Jan 2 2007,1600,2273,3.8,2785,2.1,5058,2.9
Tue, Jan 2 2007,1700,2484,2.1,3459,0.9,5943,1.4
Tue, Jan 2 2007,1800,2358,1.9,3841,0.5,6199,1.1
Tue, Jan 2 2007,1900,1919,1.9,2634,0.7,4553,1.2
Tue, Jan 2 2007,2000,1514,1.7,2012,0.9,3526,1.2
Tue, Jan 2 2007,2100,1138,1.4,1384,1.1,2522,1.2
Tue, Jan 2 2007,2200,907,2.3,1041,0.9,1948,1.5
Tue, Jan 2 2007,2300,570,2.5,788,1.6,1358,2
Tue, Jan 2 2007,2400,398,2.5,556,2,954,2.2
Wed, Jan 3 2007,0100,253,4,326,4.3,579,4.1
Wed, Jan 3 2007,0200,142,8.5,152,7.9,294,8.2
Wed, Jan 3 2007,0300,72,5.6,85,8.2,157,7
Wed, Jan 3 2007,0400,98,5.1,62,17.7,160,10
Wed, Jan 3 2007,0500,240,7.1,107,15.9,347,9.8
Wed, Jan 3 2007,0600,376,6.4,316,13.3,692,9.5
Wed, Jan 3 2007,0700,1329,6.8,1967,6,3296,6.4
Wed, Jan 3 2007,0800,3130,3.3,2952,5.3,6082,4.3
Wed, Jan 3 2007,0900,3441,4.2,2376,5.9,5817,4.9
Wed, Jan 3 2007,1000,2474,6.4,2173,8.9,4647,7.6
Wed, Jan 3 2007,1100,2182,8,2049,7.4,4231,7.7
Wed, Jan 3 2007,1200,2164,9.4,2118,8.8,4282,9.1
Wed, Jan 3 2007,1300,2279,8.6,2352,6.4,4631,7.5
Wed, Jan 3 2007,1400,2329,8.6,2412,6,4741,7.3
Wed, Jan 3 2007,1500,2494,8.2,2544,6.4,5038,7.3
Wed, Jan 3 2007,1600,2711,7,2645,3.6,5356,5.3
Wed, Jan 3 2007,1700,3218,3.2,3335,2,6553,2.6
Wed, Jan 3 2007,1800,2700,1.9,3773,1.2,6473,1.5
Wed, Jan 3 2007,1900,2252,2,3306,0.8,5558,1.3
Wed, Jan 3 2007,2000,1660,1.8,1972,1.4,3632,1.6
Wed, Jan 3 2007,2100,1275,2,1461,1.6,2736,1.8
Wed, Jan 3 2007,2200,1016,2.3,1035,1.7,2051,2
Wed, Jan 3 2007,2300,698,2,790,2.2,1488,2.1
Wed, Jan 3 2007,2400,456,2.4,508,2.6,964,2.5
Thu, Jan 4 2007,0100,267,5.6,337,4.2,604,4.8
Thu, Jan 4 2007,0200,107,9.3,148,5.4,255,7.1
Thu, Jan 4 2007,0300,67,7.5,88,19.3,155,14.2
Thu, Jan 4 2007,0400,110,11.8,59,18.6,169,14.2
Thu, Jan 4 2007,0500,224,11.2,119,21,343,14.6
Thu, Jan 4 2007,0600,368,7.3,279,18.6,647,12.2
Thu, Jan 4 2007,0700,1369,6.9,2034,8.8,3403,8
Thu, Jan 4 2007,0800,3295,4.4,3054,5.3,6349,4.8
Thu, Jan 4 2007,0900,3583,3.9,2665,6.8,6248,5.1
Thu, Jan 4 2007,1000,2739,8,2427,9.5,5166,8.7
Thu, Jan 4 2007,1100,2481,9,2099,9.2,4580,9.1
Thu, Jan 4 2007,1200,2401,10,2232,9.6,4633,9.8
Thu, Jan 4 2007,1300,2431,11.2,2402,7.6,4833,9.4
Thu, Jan 4 2007,1400,2431,7.9,2426,6.6,4857,7.3
Thu, Jan 4 2007,1500,2555,8.6,2547,5.7,5102,7.2
Thu, Jan 4 2007,1600,2815,6.5,2728,3.8,5543,5.2
Thu, Jan 4 2007,1700,3445,3.5,3495,2.5,6940,3
Thu, Jan 4 2007,1800,2923,2.3,3781,1.3,6704,1.7
Thu, Jan 4 2007,1900,2376,2.1,3419,0.7,5795,1.3
Thu, Jan 4 2007,2000,1878,1.4,2234,1.1,4112,1.2
Thu, Jan 4 2007,2100,1455,1.8,1647,1.3,3102,1.5
Thu, Jan 4 2007,2200,1209,1.6,1261,0.8,2470,1.2
Thu, Jan 4 2007,2300,834,1.7,884,2.4,1718,2
Thu, Jan 4 2007,2400,527,2.3,552,1.4,1079,1.9
Fri, Jan 5 2007,0100,292,3.8,327,3.4,619,3.6
Fri, Jan 5 2007,0200,158,7.6,173,4,331,5.7
Fri, Jan 5 2007,0300,95,10.5,100,15,195,12.8
Fri, Jan 5 2007,0400,113,7.1,89,19.1,202,12.4
Fri, Jan 5 2007,0500,208,11.5,109,18.3,317,13.9
Fri, Jan 5 2007,0600,371,7.3,274,19,645,12.2
Fri, Jan 5 2007,0700,1297,6.7,1905,9.4,3202,8.3
Fri, Jan 5 2007,0800,3193,4.4,3088,7,6281,5.7
Fri, Jan 5 2007,0900,3549,5.2,2574,7.5,6123,6.2
Fri, Jan 5 2007,1000,2694,7.9,2491,9,5185,8.4
Fri, Jan 5 2007,1100,2298,9.8,2261,9.5,4559,9.7
Fri, Jan 5 2007,1200,2489,10.3,2414,8.6,4903,9.5
Fri, Jan 5 2007,1300,2659,10.7,2544,6.6,5203,8.7
Fri, Jan 5 2007,1400,2773,7.4,2563,6.1,5336,6.8
Fri, Jan 5 2007,1500,3031,7.3,2722,6.2,5753,6.8
Fri, Jan 5 2007,1600,3397,5.8,3076,4.2,6473,5
Fri, Jan 5 2007,1700,2915,4.2,3573,2,6488,3
Fri, Jan 5 2007,1800,2718,2.8,3791,1.5,6509,2
Fri, Jan 5 2007,1900,2349,1.6,3018,1.2,5367,1.4
Fri, Jan 5 2007,2000,2012,2,2175,1.1,4187,1.6
Fri, Jan 5 2007,2100,1517,1.6,1698,1.2,3215,1.4
Fri, Jan 5 2007,2200,1182,1.9,1193,0.8,2375,1.3
Fri, Jan 5 2007,2300,704,2.3,805,0.5,1509,1.3
Fri, Jan 5 2007,2400,537,0.9,670,2.1,1207,1.6
Sat, Jan 6 2007,0100,360,2.5,399,2,759,2.2
Sat, Jan 6 2007,0200,321,1.6,325,2.5,646,2
Sat, Jan 6 2007,0300,205,3.4,186,5.4,391,4.3
Sat, Jan 6 2007,0400,194,4.6,145,7.6,339,5.9
Sat, Jan 6 2007,0500,249,4.4,130,9.2,379,6.1
Sat, Jan 6 2007,0600,245,6.9,113,23,358,12
Sat, Jan 6 2007,0700,446,6.3,409,20.8,855,13.2
Sat, Jan 6 2007,0800,810,10.5,777,8.2,1587,9.4
Sat, Jan 6 2007,0900,1180,9,1016,7.2,2196,8.2
Sat, Jan 6 2007,1000,1775,5.9,1464,6.2,3239,6.1
Sat, Jan 6 2007,1100,1925,5.2,1679,5.5,3604,5.4
Sat, Jan 6 2007,1200,2394,4.4,2224,3.1,4618,3.8
Sat, Jan 6 2007,1300,2528,3.4,2532,1.9,5060,2.6
Sat, Jan 6 2007,1400,2582,2,2684,0.9,5266,1.5
Sat, Jan 6 2007,1500,2557,1.1,2764,1.3,5321,1.2
Sat, Jan 6 2007,1600,2425,1.6,2625,1.3,5050,1.5
Sat, Jan 6 2007,1700,2381,0.9,2747,0.8,5128,0.9
Sat, Jan 6 2007,1800,2300,1.3,2437,0.7,4737,1
Sat, Jan 6 2007,1900,1917,1,2035,0.9,3952,1
Sat, Jan 6 2007,2000,1613,0.9,1747,0.6,3360,0.7
Sat, Jan 6 2007,2100,1212,1.2,1319,0.8,2531,1
Sat, Jan 6 2007,2200,862,0.7,908,1.2,1770,1
Sat, Jan 6 2007,2300,625,1.4,705,0.4,1330,0.9
Sat, Jan 6 2007,2400,543,1.1,645,1.4,1188,1.3
Sun, Jan 7 2007,0100,488,1.4,502,0.6,990,1
Sun, Jan 7 2007,0200,416,2.4,406,1.5,822,1.9
Sun, Jan 7 2007,0300,224,2.7,248,1.2,472,1.9
Sun, Jan 7 2007,0400,193,1.6,167,0.6,360,1.1
Sun, Jan 7 2007,0500,232,0.4,124,0.8,356,0.6
Sun, Jan 7 2007,0600,160,0.6,140,1.4,300,1
Sun, Jan 7 2007,0700,249,1.6,205,2,454,1.8
Sun, Jan 7 2007,0800,394,2.3,337,1.5,731,1.9
Sun, Jan 7 2007,0900,508,1.4,428,1.6,936,1.5
Sun, Jan 7 2007,1000,784,2.3,707,1,1491,1.7
Sun, Jan 7 2007,1100,1104,1.4,1039,1.2,2143,1.3
