Day of Week,Date,Hour ending,Hourly volume Southbound,HCV % Southbound,Hourly volume Northbound,HCV % Northbound,Total volume,Total % HCV
Sun, Jan 1 2012,0100,331,0.6,457,0.2,788,0.4
Sun, Jan 1 2012,0200,554,0.5,598,0.7,1152,0.6
Sun, Jan 1 2012,0300,413,0.7,452,0.2,865,0.5
Sun, Jan 1 2012,0400,283,2.8,300,1,583,1.9
Sun, Jan 1 2012,0500,188,2.1,264,2.7,452,2.4
Sun, Jan 1 2012,0600,172,1.7,202,2.5,374,2.1
Sun, Jan 1 2012,0700,185,3.8,227,1.8,412,2.7
Sun, Jan 1 2012,0800,261,1.5,310,0.6,571,1.1
Sun, Jan 1 2012,0900,273,1.1,393,2,666,1.7
Sun, Jan 1 2012,1000,409,1,473,0.8,882,0.9
Sun, Jan 1 2012,1100,737,0.8,779,0.5,1516,0.7
Sun, Jan 1 2012,1200,1243,0.4,1240,0.5,2483,0.4
Sun, Jan 1 2012,1300,1869,0.6,1915,0.3,3784,0.4
Sun, Jan 1 2012,1400,2740,1.2,2504,0.1,5244,0.7
Sun, Jan 1 2012,1500,3035,0.9,2744,0,5779,0.5
Sun, Jan 1 2012,1600,2949,0.9,2574,0.3,5523,0.6
Sun, Jan 1 2012,1700,2813,1,2519,0.3,5332,0.7
Sun, Jan 1 2012,1800,2526,1,2248,0.3,4774,0.7
Sun, Jan 1 2012,1900,2289,1,1931,0.3,4220,0.7
Sun, Jan 1 2012,2000,1974,0.7,1551,0.3,3525,0.5
Sun, Jan 1 2012,2100,1445,1,1306,0.7,2751,0.8
Sun, Jan 1 2012,2200,1170,1.8,1013,0.5,2183,1.2
Sun, Jan 1 2012,2300,797,0.6,635,0.6,1432,0.6
Sun, Jan 1 2012,2400,570,0.9,458,1.1,1028,1
Mon, Jan 2 2012,0100,323,1.2,342,2.3,665,1.8
Mon, Jan 2 2012,0200,193,1.6,198,2,391,1.8
Mon, Jan 2 2012,0300,87,5.7,119,4.2,206,4.9
Mon, Jan 2 2012,0400,88,9.1,117,5.1,205,6.8
Mon, Jan 2 2012,0500,99,16.2,179,2.8,278,7.6
Mon, Jan 2 2012,0600,179,8.4,220,4.1,399,6
Mon, Jan 2 2012,0700,318,9.4,379,4.5,697,6.7
Mon, Jan 2 2012,0800,522,5.4,452,2.9,974,4.2
Mon, Jan 2 2012,0900,589,3.1,769,3.9,1358,3.5
Mon, Jan 2 2012,1000,877,2.7,928,3.6,1805,3.2
Mon, Jan 2 2012,1100,1225,2.8,1470,2,2695,2.4
Mon, Jan 2 2012,1200,1858,1.9,1919,1.1,3777,1.5
Mon, Jan 2 2012,1300,2574,1.3,2485,1.2,5059,1.3
Mon, Jan 2 2012,1400,3204,1.5,2803,0.7,6007,1.1
Mon, Jan 2 2012,1500,3468,1.4,3104,0.8,6572,1.2
Mon, Jan 2 2012,1600,3606,1.4,2773,0.9,6379,1.2
Mon, Jan 2 2012,1700,3627,1.9,2831,0.7,6458,1.4
Mon, Jan 2 2012,1800,3544,1.6,2577,0.8,6121,1.3
Mon, Jan 2 2012,1900,2974,1.8,2107,0.6,5081,1.3
Mon, Jan 2 2012,2000,2419,1.5,1694,1,4113,1.3
Mon, Jan 2 2012,2100,1734,1.5,1262,1.4,2996,1.5
Mon, Jan 2 2012,2200,1259,1,952,1.3,2211,1.1
Mon, Jan 2 2012,2300,893,1.5,630,1.6,1523,1.5
Mon, Jan 2 2012,2400,639,2,437,3,1076,2.4
Tue, Jan 3 2012,0100,325,2.2,266,4.9,591,3.4
Tue, Jan 3 2012,0200,152,4.6,156,4.5,308,4.5
Tue, Jan 3 2012,0300,74,9.5,91,9.9,165,9.7
Tue, Jan 3 2012,0400,80,15,81,11.1,161,13
Tue, Jan 3 2012,0500,93,21.5,214,4.2,307,9.4
