Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Fri, Jan 5 2007,0100,394,15.5,521,15.5,915,15.5
Fri, Jan 5 2007,0200,233,20.6,288,20.8,521,20.7
Fri, Jan 5 2007,0300,157,22.9,187,35.8,344,29.9
Fri, Jan 5 2007,0400,218,22,184,42.4,402,31.3
Fri, Jan 5 2007,0500,493,15.2,271,38.7,764,23.6
Fri, Jan 5 2007,0600,774,18.7,696,32.9,1470,25.4
Fri, Jan 5 2007,0700,1953,15,2591,18,4544,16.7
Fri, Jan 5 2007,0800,2983,10.5,2726,12.2,5709,11.3
Fri, Jan 5 2007,0900,2747,13.1,2900,11.8,5647,12.4
Fri, Jan 5 2007,1000,2561,15.9,2662,16,5223,16
Fri, Jan 5 2007,1100,2457,17.9,2588,16.6,5045,17.2
Fri, Jan 5 2007,1200,2630,18.7,2678,16.4,5308,17.5
Fri, Jan 5 2007,1300,2729,17.1,2815,14.6,5544,15.9
Fri, Jan 5 2007,1400,2757,15.5,2682,13,5439,14.2
Fri, Jan 5 2007,1500,2886,13.3,3031,11.3,5917,12.3
Fri, Jan 5 2007,1600,3012,10.5,2983,9.1,5995,9.8
Fri, Jan 5 2007,1700,3234,7.9,3263,7.4,6497,7.7
Fri, Jan 5 2007,1800,3126,6.2,2893,4.7,6019,5.5
Fri, Jan 5 2007,1900,3053,6.6,2387,4.4,5440,5.6
Fri, Jan 5 2007,2000,2243,5.7,2169,4.7,4412,5.2
Fri, Jan 5 2007,2100,1861,5.6,1709,4.9,3570,5.3
Fri, Jan 5 2007,2200,1416,6.7,1418,4.7,2834,5.7
Fri, Jan 5 2007,2300,979,6.3,1105,6.1,2084,6.2
Fri, Jan 5 2007,2400,677,7.1,887,6.4,1564,6.7
Sat, Jan 6 2007,0100,443,10.4,539,10.2,982,10.3
Sat, Jan 6 2007,0200,392,9.9,397,10.1,789,10
Sat, Jan 6 2007,0300,267,13.9,252,18.3,519,16
Sat, Jan 6 2007,0400,360,9.2,236,19.9,596,13.4
Sat, Jan 6 2007,0500,598,7.9,315,14.6,913,10.2
Sat, Jan 6 2007,0600,629,8.3,398,13.1,1027,10.1
Sat, Jan 6 2007,0700,727,12.9,732,22.7,1459,17.8
Sat, Jan 6 2007,0800,1237,11.7,969,12.9,2206,12.2
Sat, Jan 6 2007,0900,1394,11.9,1363,12.5,2757,12.2
Sat, Jan 6 2007,1000,1840,9.3,1800,10.3,3640,9.8
Sat, Jan 6 2007,1100,2171,8,2084,9.1,4255,8.6
Sat, Jan 6 2007,1200,2441,7.3,2552,5.7,4993,6.5
Sat, Jan 6 2007,1300,2586,5,2789,5.3,5375,5.2
Sat, Jan 6 2007,1400,2968,4,2759,3.4,5727,3.8
Sat, Jan 6 2007,1500,2629,2.9,2575,3.1,5204,3
Sat, Jan 6 2007,1600,2456,2.6,2733,2.2,5189,2.4
Sat, Jan 6 2007,1700,2498,2.6,2532,1.9,5030,2.2
Sat, Jan 6 2007,1800,2251,2.5,2227,1.5,4478,2
Sat, Jan 6 2007,1900,2142,3,2263,2.3,4405,2.7
Sat, Jan 6 2007,2000,1812,2.3,1828,2.4,3640,2.3
Sat, Jan 6 2007,2100,1458,2.9,1421,2.7,2879,2.8
Sat, Jan 6 2007,2200,1060,3.1,1040,4,2100,3.6
Sat, Jan 6 2007,2300,773,2.7,942,2,1715,2.3
Sat, Jan 6 2007,2400,696,1.6,895,3.7,1591,2.8
Sun, Jan 7 2007,0100,513,2.7,593,3.9,1106,3.3
Sun, Jan 7 2007,0200,493,2.6,484,3.7,977,3.2
Sun, Jan 7 2007,0300,325,4,310,8.7,635,6.3
Sun, Jan 7 2007,0400,286,5.6,228,8.8,514,7
Sun, Jan 7 2007,0500,492,2.4,233,8.2,725,4.3
Sun, Jan 7 2007,0600,428,2.6,333,5.4,761,3.8
Sun, Jan 7 2007,0700,425,3.5,421,7.6,846,5.6
Sun, Jan 7 2007,0800,613,4.7,476,4.4,1089,4.6
Sun, Jan 7 2007,0900,736,5.6,641,4.1,1377,4.9
Sun, Jan 7 2007,1000,1072,3.2,951,4.2,2023,3.7
Sun, Jan 7 2007,1100,1415,2.7,1330,3.5,2745,3.1
Sun, Jan 7 2007,1200,1817,2.3,1764,2.6,3581,2.4
Sun, Jan 7 2007,1300,2363,2,2337,1.5,4700,1.8
Sun, Jan 7 2007,1400,2727,1,2660,1.4,5387,1.2
Sun, Jan 7 2007,1500,2800,1.8,2738,1.1,5538,1.4
Sun, Jan 7 2007,1600,2731,1.4,2618,1.7,5349,1.5
Sun, Jan 7 2007,1700,2560,1.6,2587,1.7,5147,1.6
Sun, Jan 7 2007,1800,2552,1.8,2299,1.5,4851,1.6
Sun, Jan 7 2007,1900,2407,1.7,2347,3.1,4754,2.4
Sun, Jan 7 2007,2000,2153,2.2,2044,3.2,4197,2.7
Sun, Jan 7 2007,2100,1817,2.4,1771,2.5,3588,2.5
Sun, Jan 7 2007,2200,1443,3.4,1388,4,2831,3.7
Sun, Jan 7 2007,2300,1036,2.5,1166,5.2,2202,4
Sun, Jan 7 2007,2400,672,4.9,900,3.7,1572,4.2
Mon, Jan 8 2007,0100,389,9,511,10.4,900,9.8
Mon, Jan 8 2007,0200,182,11,276,16.3,458,14.2
Mon, Jan 8 2007,0300,123,23.6,179,33,302,29.1
Mon, Jan 8 2007,0400,152,18.4,128,39.8,280,28.2
Mon, Jan 8 2007,0500,460,11.5,286,33.9,746,20.1
Mon, Jan 8 2007,0600,862,13.9,814,21.9,1676,17.8
Mon, Jan 8 2007,0700,2135,12.5,2984,14,5119,13.4
Mon, Jan 8 2007,0800,3197,9,2926,9.2,6123,9.1
Mon, Jan 8 2007,0900,2935,11.6,2689,10.9,5624,11.3
Mon, Jan 8 2007,1000,2631,15.4,2742,15.4,5373,15.4
Mon, Jan 8 2007,1100,2460,20,2261,20.2,4721,20.1
Mon, Jan 8 2007,1200,2383,22.6,2327,21.7,4710,22.2
Mon, Jan 8 2007,1300,2358,23.2,2513,21,4871,22
Mon, Jan 8 2007,1400,2478,19.9,2509,18.8,4987,19.3
Mon, Jan 8 2007,1500,2572,18.8,2450,18.2,5022,18.5
Mon, Jan 8 2007,1600,2798,16,2767,13.3,5565,14.7
