Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Sun, Jan 1 2012,0100,368,2.7,391,2.3,759,2.5
Sun, Jan 1 2012,0200,544,1.1,585,2.6,1129,1.9
Sun, Jan 1 2012,0300,461,1.7,411,2.7,872,2.2
Sun, Jan 1 2012,0400,362,3,348,3.2,710,3.1
Sun, Jan 1 2012,0500,350,3.4,256,4.7,606,4
Sun, Jan 1 2012,0600,379,3.4,309,2.6,688,3.1
Sun, Jan 1 2012,0700,403,3.2,332,6,735,4.5
Sun, Jan 1 2012,0800,566,1.4,441,4.8,1007,2.9
Sun, Jan 1 2012,0900,523,2.9,520,3.7,1043,3.3
Sun, Jan 1 2012,1000,637,2.4,620,2.4,1257,2.4
Sun, Jan 1 2012,1100,844,1.7,831,2.5,1675,2.1
Sun, Jan 1 2012,1200,1167,1.3,1183,1.2,2350,1.2
Sun, Jan 1 2012,1300,1810,1.3,1681,1,3491,1.1
Sun, Jan 1 2012,1400,2390,0.8,2169,1,4559,0.9
Sun, Jan 1 2012,1500,2494,1.3,2326,0.9,4820,1.1
Sun, Jan 1 2012,1600,2260,1,2265,0.8,4525,0.9
Sun, Jan 1 2012,1700,2096,1.2,2162,0.6,4258,0.9
Sun, Jan 1 2012,1800,1981,0.8,2030,1.4,4011,1.1
Sun, Jan 1 2012,1900,1921,0.9,1801,0.8,3722,0.8
Sun, Jan 1 2012,2000,1557,1.6,1555,1.4,3112,1.5
Sun, Jan 1 2012,2100,1294,2.3,1251,1.4,2545,1.8
Sun, Jan 1 2012,2200,1075,1.6,1067,2.3,2142,2
Sun, Jan 1 2012,2300,780,3.6,911,2.7,1691,3.1
Sun, Jan 1 2012,2400,478,3.6,728,4.4,1206,4.1
Mon, Jan 2 2012,0100,342,8.8,378,7.7,720,8.2
Mon, Jan 2 2012,0200,196,4.6,211,15.6,407,10.3
Mon, Jan 2 2012,0300,181,12.7,168,22,349,17.2
Mon, Jan 2 2012,0400,263,8.7,157,22.3,420,13.8
Mon, Jan 2 2012,0500,553,5.1,278,15.1,831,8.4
Mon, Jan 2 2012,0600,662,6.2,505,8.1,1167,7
Mon, Jan 2 2012,0700,814,7.4,644,10.2,1458,8.6
Mon, Jan 2 2012,0800,838,7.5,743,10.2,1581,8.8
Mon, Jan 2 2012,0900,888,8,911,10.3,1799,9.2
Mon, Jan 2 2012,1000,1180,7.6,1081,7.5,2261,7.6
Mon, Jan 2 2012,1100,1505,6.4,1319,5.5,2824,6
Mon, Jan 2 2012,1200,2039,4.7,1930,3.9,3969,4.3
Mon, Jan 2 2012,1300,2385,2.4,2250,3.5,4635,2.9
Mon, Jan 2 2012,1400,2820,2.5,2732,2.1,5552,2.3
Mon, Jan 2 2012,1500,3000,2.5,2939,1.7,5939,2.1
Mon, Jan 2 2012,1600,2869,2.6,2789,2.4,5658,2.5
Mon, Jan 2 2012,1700,2686,2,2630,2.5,5316,2.3
Mon, Jan 2 2012,1800,2547,1.8,2432,1.9,4979,1.8
Mon, Jan 2 2012,1900,2239,3,2085,2.4,4324,2.7
Mon, Jan 2 2012,2000,1707,3.6,1734,2.9,3441,3.3
Mon, Jan 2 2012,2100,1286,4.4,1387,2.4,2673,3.3
Mon, Jan 2 2012,2200,1096,4.3,1000,4.2,2096,4.2
Mon, Jan 2 2012,2300,736,5,1011,6.1,1747,5.7
Mon, Jan 2 2012,2400,478,5.2,723,6.4,1201,5.9
Tue, Jan 3 2012,0100,312,10.6,422,10,734,10.2
Tue, Jan 3 2012,0200,170,11.2,255,18.8,425,15.8
Tue, Jan 3 2012,0300,130,16.9,133,33.8,263,25.5
Tue, Jan 3 2012,0400,249,16.9,135,37,384,24
Tue, Jan 3 2012,0500,644,7.9,279,22.9,923,12.5
Tue, Jan 3 2012,0600,995,9.6,761,15.2,1756,12.1
Tue, Jan 3 2012,0700,1483,11.3,1407,15.2,2890,13.2
Tue, Jan 3 2012,0800,2611,8.9,2708,12.2,5319,10.6
Tue, Jan 3 2012,0900,3148,8.4,3054,10.6,6202,9.5
Tue, Jan 3 2012,1000,2295,12.8,2222,15.3,4517,14.1
Tue, Jan 3 2012,1100,2153,15,2115,15.8,4268,15.4
Tue, Jan 3 2012,1200,2470,15.6,2269,14.1,4739,14.9
Tue, Jan 3 2012,1300,2545,13.1,2563,12.8,5108,12.9
Tue, Jan 3 2012,1400,2790,10.9,2621,11.3,5411,11.1
Tue, Jan 3 2012,1500,2817,11.6,2845,9.3,5662,10.4
Tue, Jan 3 2012,1600,2874,10.4,2920,8.5,5794,9.4
Tue, Jan 3 2012,1700,3344,7.3,3353,6.2,6697,6.7
Tue, Jan 3 2012,1800,3617,5.7,3708,4.4,7325,5
Tue, Jan 3 2012,1900,2818,8.8,2715,3.9,5533,6.4
Tue, Jan 3 2012,2000,1843,8.5,1778,5.4,3621,7
Tue, Jan 3 2012,2100,1236,7.4,1396,6.1,2632,6.7
