Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Sat, Aug 6 2011,0100,387,11.4,538,8.9,925,9.9
Sat, Aug 6 2011,0200,356,12.1,421,14.5,777,13.4
Sat, Aug 6 2011,0300,326,13.2,303,20.8,629,16.9
Sat, Aug 6 2011,0400,415,10.4,259,18.1,674,13.4
Sat, Aug 6 2011,0500,727,6.6,411,10.5,1138,8
Sat, Aug 6 2011,0600,900,7.9,611,12.8,1511,9.9
Sat, Aug 6 2011,0700,1060,11.2,950,15.8,2010,13.4
Sat, Aug 6 2011,0800,1547,8.9,1236,9.5,2783,9.1
Sat, Aug 6 2011,0900,1782,8.4,1856,7.1,3638,7.7
Sat, Aug 6 2011,1000,2231,7.3,2489,6.8,4720,7
Sat, Aug 6 2011,1100,2734,5.5,2908,4.8,5642,5.2
Sat, Aug 6 2011,1200,3286,3.9,3443,3.9,6729,3.9
Sat, Aug 6 2011,1300,3851,3.2,3904,3.3,7755,3.2
Sat, Aug 6 2011,1400,4036,3.1,3846,2.4,7882,2.8
Sat, Aug 6 2011,1500,4090,2.3,3908,2.3,7998,2.3
Sat, Aug 6 2011,1600,3807,2.5,3740,2.1,7547,2.3
Sat, Aug 6 2011,1700,3733,2.2,3611,1.9,7344,2.1
Sat, Aug 6 2011,1800,3461,2.5,3644,1.8,7105,2.1
Sat, Aug 6 2011,1900,3174,2.7,3067,2.5,6241,2.6
Sat, Aug 6 2011,2000,2288,3.3,2317,2.2,4605,2.7
Sat, Aug 6 2011,2100,1612,3.3,1800,2.5,3412,2.9
Sat, Aug 6 2011,2200,1359,3.1,1626,2.4,2985,2.7
Sat, Aug 6 2011,2300,1136,4.1,1129,2.8,2265,3.5
Sat, Aug 6 2011,2400,913,3.2,885,3.7,1798,3.4
Sun, Aug 7 2011,0100,693,3.2,913,3.6,1606,3.4
Sun, Aug 7 2011,0200,454,4.8,734,3.1,1188,3.8
Sun, Aug 7 2011,0300,304,6.6,396,7.6,700,7.1
Sun, Aug 7 2011,0400,370,6.8,317,6.6,687,6.7
Sun, Aug 7 2011,0500,640,4.1,307,6.2,947,4.8
Sun, Aug 7 2011,0600,798,3.1,511,4.5,1309,3.7
Sun, Aug 7 2011,0700,772,5.1,602,7.3,1374,6
Sun, Aug 7 2011,0800,992,4.9,850,6.9,1842,5.9
Sun, Aug 7 2011,0900,971,4.4,1102,4.9,2073,4.7
Sun, Aug 7 2011,1000,1562,3.6,1397,4.2,2959,3.9
Sun, Aug 7 2011,1100,2106,3,1949,2.8,4055,2.9
Sun, Aug 7 2011,1200,3095,2,2609,2.1,5704,2
Sun, Aug 7 2011,1300,4010,1.7,3426,1.8,7436,1.8
Sun, Aug 7 2011,1400,4319,1.8,3703,1.1,8022,1.5
Sun, Aug 7 2011,1500,4260,1.5,3720,1.3,7980,1.4
Sun, Aug 7 2011,1600,3754,1.4,3535,1.5,7289,1.5
Sun, Aug 7 2011,1700,3578,1.5,3208,1.8,6786,1.6
Sun, Aug 7 2011,1800,3598,1.7,3795,1.9,7393,1.8
Sun, Aug 7 2011,1900,3286,2.7,4192,2.2,7478,2.4
Sun, Aug 7 2011,2000,2876,2.6,2944,2,5820,2.3
Sun, Aug 7 2011,2100,2308,2.1,2337,2.5,4645,2.3
Sun, Aug 7 2011,2200,1851,2.4,1767,2.9,3618,2.7
Sun, Aug 7 2011,2300,1345,2.9,1288,3.8,2633,3.3
Sun, Aug 7 2011,2400,834,3.1,1120,4,1954,3.6
Mon, Aug 8 2011,0100,438,5.7,701,8.3,1139,7.3
Mon, Aug 8 2011,0200,248,11.7,426,8.5,674,9.6
Mon, Aug 8 2011,0300,173,9.8,163,23.9,336,16.7
Mon, Aug 8 2011,0400,275,16.4,198,24.7,473,19.9
Mon, Aug 8 2011,0500,685,8.5,369,22,1054,13.2
Mon, Aug 8 2011,0600,1256,7.7,854,16.2,2110,11.1
Mon, Aug 8 2011,0700,1776,11.8,1822,17,3598,14.5
Mon, Aug 8 2011,0800,4006,8.6,3960,11.2,7966,9.9
Mon, Aug 8 2011,0900,5147,6.9,5330,8.5,10477,7.7
Mon, Aug 8 2011,1000,3783,11.2,3747,12.1,7530,11.6
Mon, Aug 8 2011,1100,3375,11.5,3238,12.2,6613,11.9
Mon, Aug 8 2011,1200,3469,12.9,3372,11.6,6841,12.2
Mon, Aug 8 2011,1300,3774,12,3656,10.8,7430,11.4
Mon, Aug 8 2011,1400,3707,11.4,3722,9.9,7429,10.6
Mon, Aug 8 2011,1500,3753,11.8,3771,9.1,7524,10.4
Mon, Aug 8 2011,1600,3851,10.7,3932,8.8,7783,9.8
Mon, Aug 8 2011,1700,4724,8,4645,6,9369,7
Mon, Aug 8 2011,1800,5479,5.4,5627,4.7,11106,5.1
Mon, Aug 8 2011,1900,4338,5.8,4292,4.5,8630,5.1
Mon, Aug 8 2011,2000,2818,6.8,2648,4.7,5466,5.8
Mon, Aug 8 2011,2100,2039,6.3,2039,4.4,4078,5.4
Mon, Aug 8 2011,2200,1578,6.3,1692,3.7,3270,5
Mon, Aug 8 2011,2300,1182,6,1308,4.6,2490,5.3
Mon, Aug 8 2011,2400,683,7.6,1049,5.4,1732,6.3
Tue, Aug 9 2011,0100,384,13.5,670,9.9,1054,11.2
Tue, Aug 9 2011,0200,190,16.3,428,14.5,618,15
Tue, Aug 9 2011,0300,160,25.6,128,30.5,288,27.8
Tue, Aug 9 2011,0400,254,16.1,158,34.8,412,23.3
Tue, Aug 9 2011,0500,705,10.1,340,22.6,1045,14.2
Tue, Aug 9 2011,0600,1160,11.2,716,20.9,1876,14.9
Tue, Aug 9 2011,0700,1628,14,1731,19.9,3359,17
Tue, Aug 9 2011,0800,4024,8.8,3989,10.3,8013,9.5
Tue, Aug 9 2011,0900,5168,7,5295,9.1,10463,8.1
Tue, Aug 9 2011,1000,3918,10.4,3931,10,7849,10.2
Tue, Aug 9 2011,1100,3489,12.2,3372,11.6,6861,11.9
Tue, Aug 9 2011,1200,3588,12.1,3549,11.3,7137,11.7
Tue, Aug 9 2011,1300,3643,13,3592,10.3,7235,11.7
Tue, Aug 9 2011,1400,3849,10.8,3570,10.3,7419,10.6
Tue, Aug 9 2011,1500,4022,10.4,3754,8.8,7776,9.6
Tue, Aug 9 2011,1600,4036,10.7,4032,8.1,8068,9.4
Tue, Aug 9 2011,1700,4871,8.3,4841,6,9712,7.1
Tue, Aug 9 2011,1800,5643,5.2,5746,4.2,11389,4.7
Tue, Aug 9 2011,1900,4613,5.2,4293,3.8,8906,4.5
Tue, Aug 9 2011,2000,2974,5.9,3032,3.9,6006,4.9
Tue, Aug 9 2011,2100,2137,5.4,2264,4.7,4401,5.1
Tue, Aug 9 2011,2200,1754,5.8,1926,4.6,3680,5.2
Tue, Aug 9 2011,2300,1299,5.8,1566,5.1,2865,5.4
Tue, Aug 9 2011,2400,820,7.6,1032,7.4,1852,7.5
Wed, Aug 10 2011,0100,465,11.6,624,10.9,1089,11.2
Wed, Aug 10 2011,0200,218,15.1,472,12.1,690,13
Wed, Aug 10 2011,0300,158,29.1,189,25.9,347,27.4
Wed, Aug 10 2011,0400,228,17.1,160,31.9,388,23.2
Wed, Aug 10 2011,0500,640,11.9,304,25.7,944,16.3
