Day of Week,Date,Hour ending,Hourly volume Northbound,HCV % Northbound,Hourly volume Southbound,HCV % Southbound,Total volume,Total % HCV
Thu, Jun 23 2011,0100,188,18.1,112,18.8,300,18.3
Thu, Jun 23 2011,0200,172,20.3,74,21.6,246,20.7
Thu, Jun 23 2011,0300,154,21.4,36,25,190,22.1
Thu, Jun 23 2011,0400,243,18.1,48,6.2,291,16.2
Thu, Jun 23 2011,0500,629,12.2,57,24.6,686,13.3
Thu, Jun 23 2011,0600,1133,10.4,224,17,1357,11.5
Thu, Jun 23 2011,0700,1446,18.5,672,14.3,2118,17.1
Thu, Jun 23 2011,0800,2868,12.6,1980,6,4848,9.9
Thu, Jun 23 2011,0900,3728,9.8,2675,3.9,6403,7.3
Thu, Jun 23 2011,1000,3104,14.8,1849,5.4,4953,11.2
Thu, Jun 23 2011,1100,2580,15.7,1232,5.7,3812,12.5
Thu, Jun 23 2011,1200,2507,17.3,1299,9.5,3806,14.6
Thu, Jun 23 2011,1300,2687,15.6,1409,9.4,4096,13.5
Thu, Jun 23 2011,1400,2751,16,1432,6.6,4183,12.8
Thu, Jun 23 2011,1500,2775,14.3,1621,5.8,4396,11.1
Thu, Jun 23 2011,1600,2903,14.7,1756,4.7,4659,10.9
Thu, Jun 23 2011,1700,3096,10.6,2219,3.5,5315,7.6
Thu, Jun 23 2011,1800,3334,7.5,2776,4.8,6110,6.3
Thu, Jun 23 2011,1900,2658,6.5,1785,3.2,4443,5.2
Thu, Jun 23 2011,2000,2546,7,1160,2.4,3706,5.6
Thu, Jun 23 2011,2100,1740,6.5,854,6.3,2594,6.4
Thu, Jun 23 2011,2200,1491,5.8,772,2.6,2263,4.7
Thu, Jun 23 2011,2300,1128,6.5,550,6.4,1678,6.4
Thu, Jun 23 2011,2400,897,6.8,387,11.6,1284,8.3
Fri, Jun 24 2011,0100,461,12.8,333,7.5,794,10.6
Fri, Jun 24 2011,0200,261,17.2,103,15.5,364,16.8
Fri, Jun 24 2011,0300,187,21.9,64,14.1,251,19.9
Fri, Jun 24 2011,0400,296,13.5,67,16.4,363,14
Fri, Jun 24 2011,0500,670,10,122,18.9,792,11.4
Fri, Jun 24 2011,0600,1180,10.2,275,18.5,1455,11.8
Fri, Jun 24 2011,0700,1535,19.9,665,16.2,2200,18.8
Fri, Jun 24 2011,0800,2735,12.2,1897,6.4,4632,9.8
Fri, Jun 24 2011,0900,3576,11,2673,5,6249,8.4
Fri, Jun 24 2011,1000,2935,14.6,1786,6.9,4721,11.7
Fri, Jun 24 2011,1100,2557,16.2,1274,7.2,3831,13.2
Fri, Jun 24 2011,1200,2613,16.7,1506,8.2,4119,13.6
Fri, Jun 24 2011,1300,2794,16.1,1715,7.3,4509,12.8
Fri, Jun 24 2011,1400,2867,13.7,1712,6.5,4579,11
Fri, Jun 24 2011,1500,2918,14.1,2052,6.1,4970,10.8
Fri, Jun 24 2011,1600,3035,11.7,2284,6,5319,9.2
Fri, Jun 24 2011,1700,3281,9.1,2463,5.8,5744,7.7
Fri, Jun 24 2011,1800,3197,7.8,2401,4.4,5598,6.3
Fri, Jun 24 2011,1900,2730,7.3,1849,5.5,4579,6.6
Fri, Jun 24 2011,2000,2296,7.1,1317,5.6,3613,6.5
Fri, Jun 24 2011,2100,1725,7.1,820,5.2,2545,6.5
Fri, Jun 24 2011,2200,1445,6,594,4.9,2039,5.6
Fri, Jun 24 2011,2300,1167,5.9,473,9.7,1640,7
Fri, Jun 24 2011,2400,843,6.5,392,7.1,1235,6.7
Sat, Jun 25 2011,0100,518,8.7,199,7,717,8.2
Sat, Jun 25 2011,0200,334,14.4,106,9.4,440,13.2
Sat, Jun 25 2011,0300,286,12.6,58,10.3,344,12.2
