Day of Week,Date,Hour ending,Hourly volume Eastbound,HCV % Eastbound,Hourly volume Westbound,HCV % Westbound,Total volume,Total % HCV
Tue, Apr 26 2011,0100,290,6.9,369,7,659,7
Tue, Apr 26 2011,0200,213,11.7,282,10.6,495,11.1
Tue, Apr 26 2011,0300,134,14.9,196,15.8,330,15.5
Tue, Apr 26 2011,0400,92,21.7,76,25,168,23.2
Tue, Apr 26 2011,0500,115,13,118,22.9,233,18
Tue, Apr 26 2011,0600,425,9.4,224,25.4,649,14.9
Tue, Apr 26 2011,0700,874,10.1,711,16.9,1585,13.1
Tue, Apr 26 2011,0800,1190,18.9,1468,16.8,2658,17.8
Tue, Apr 26 2011,0900,2616,11.5,3466,13,6082,12.3
Tue, Apr 26 2011,1000,3351,9,4107,9.3,7458,9.2
Tue, Apr 26 2011,1100,2693,12.7,3017,11.9,5710,12.3
Tue, Apr 26 2011,1200,2475,14.3,2735,13.7,5210,14
Tue, Apr 26 2011,1300,2560,14.2,2905,11.7,5465,12.9
Tue, Apr 26 2011,1400,2822,12.3,2953,12.9,5775,12.6
Tue, Apr 26 2011,1500,3181,12.4,2915,11.5,6096,12
Tue, Apr 26 2011,1600,3178,12.3,3009,10.4,6187,11.4
Tue, Apr 26 2011,1700,3332,10.7,3141,10.2,6473,10.5
Tue, Apr 26 2011,1800,3980,8.2,3417,7.9,7397,8
Tue, Apr 26 2011,1900,4816,5.3,3677,6.6,8493,5.8
Tue, Apr 26 2011,2000,3747,5.6,2864,5.1,6611,5.4
Tue, Apr 26 2011,2100,2438,6.9,2026,5,4464,6
Tue, Apr 26 2011,2200,1694,7.2,1587,5.2,3281,6.2
Tue, Apr 26 2011,2300,1243,5,1236,5.6,2479,5.3
Tue, Apr 26 2011,2400,951,5.6,1025,5.9,1976,5.7
Wed, Apr 27 2011,0100,576,8.5,745,7,1321,7.6
Wed, Apr 27 2011,0200,339,15.6,415,11.1,754,13.1
Wed, Apr 27 2011,0300,140,22.9,233,19.7,373,20.9
Wed, Apr 27 2011,0400,113,19.5,110,25.5,223,22.4
Wed, Apr 27 2011,0500,159,18.9,114,30.7,273,23.8
Wed, Apr 27 2011,0600,443,14.7,280,28.9,723,20.2
Wed, Apr 27 2011,0700,833,11.9,674,17.2,1507,14.3
Wed, Apr 27 2011,0800,1272,18.9,1549,20.5,2821,19.8
Wed, Apr 27 2011,0900,2770,12.2,3461,11.6,6231,11.9
Wed, Apr 27 2011,1000,3513,9.2,4285,8.1,7798,8.6
Wed, Apr 27 2011,1100,2923,11.5,3123,10.8,6046,11.1
